State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years,Latitude,Longitude
Jammu and Kashmir,Ramban,Ramsoo,NHW-1A,Nachlana,173,173.5,1,4,3,10,2,19,4,28,33.3613594,75.1722108
Jammu and Kashmir,Samba,Bari Brahmana,NHW-44, Railway crossing,13.5,14,5,6,6,23,6,4,5,19,32.6365219,74.9141351
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Chamalwas,179,179.5,3,1,1,8,11,2,1,18,33.385502,75.2099821
Jammu and Kashmir,Kathua,Kathua,NH,Barnoti Morh,8 km ,8 ½ km,19,18,15,70,4,5,3,16,32.4301639,75.4355652
Jammu and Kashmir,Kathua,Rajbagh,NH,Rajbagh,500 mtrs,01 Km,15,10,17,75,3,0,6,14,34.0661987,74.8287807
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Shatani Nallah,202,202.5,1,2,0,4,2,5,0,14,33.5025521,75.1916283
Jammu and Kashmir,Kathua,Lakhanpur,NH,Lakhanpur  to Golden Gate,500 mtrs,1 km,8,7,10,33,1,4,2,12,32.3853003,75.6419023
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Shabanbass,180,180.5,3,0,1,6,8,0,1,11,33.4370131,75.1939345
Jammu and Kashmir,Samba,Samba,NHW-44, Bus Stand Chowk,1,1.5,16,7,5,28,7,2,1,10,,
Jharkhand,Deoghar,Jasidih,NH-333,Near Digariya pahar,147.5,148,0,4,1,5,0,2,0,2,26.3006162,74.9898712
Jharkhand,Deoghar,Jasidih,NH-333,"Deoghar Jasidih road, Near Railway Over Bridge",156.8,157.3,1,2,2,5,1,1,1,3,24.5143007,86.6447597
Jharkhand,Deoghar,Mohanpur,NH-114A,"Hindolwaran,Deoghar Dumka road",121.65,122.15,3,2,2,7,2,2,0,4,24.4914795,86.7236895
Jharkhand,Dumka,Dumka town,NH114A,Pusaro Bridge,66.5,67,0,1,5,6,0,1,3,4,24.2907271,87.2328042
Jharkhand,Dumka,Jama,NH114A,Asanthar,82,82.5,1,2,2,5,0,2,0,2,24.3708132,87.1210889
Jharkhand,Dumka,Jarmundi,NH114A,Basukinath Bus Stand,87,87.5,1,0,5,6,1,0,4,5,24.3863547,87.0799077
Jharkhand,Dumka,Jarmundi,NH114A,Jarmundi Bajrangbali More,92,92.5,6,1,1,8,5,0,0,5,24.3905233,87.040235
Jharkhand,Dumka,Mufassil,NH114A,Dasoraidih,55.2,55.7,0,4,3,7,0,3,2,5,,
Jharkhand,Dumka,Saraiyahat,NH114A,Chihuntiya,104.5,105,0,3,2,5,0,3,3,6,24.580113,87.0105681
