"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
212.0,292.0,UDAIPUR,"_""kHknso",NH 8,Hkwnj,"335.9
KM","336.4
KM",2.0,1.0,2.0,5,3.0,1.0,2.0,6,,
213.0,293.0,UDAIPUR,"_""kHknso",NH 9,ehBh fcy fcy[k,"332.1
KM","332.5
KM",2.0,2.0,5.0,9,2.0,2.0,5.0,9,,
214.0,294.0,UDAIPUR,[kSjokMk,NH 8,[kk.Mh vkscjh,"345.6
KM","346.1
KM",4.0,3.0,3.0,10,4.0,3.0,3.0,10,,
215.0,295.0,UDAIPUR,csdfj;k,NH 27,ihydk dV,210  KM,"210.5
KM",3.0,2.0,2.0,7,3.0,1.0,2.0,6,26.89183,74.3176876
216.0,296.0,UDAIPUR,csdfj;k,NH 27,vkD;koM,192  KM,"192.5
KM",3.0,5.0,1.0,9,1.0,4.0,1.0,6,,
217.0,224.0,NAGAUR,DEGANA,NH 458,LAGOD,"NIMBI JODHA
85.1 KM",NIMBI JODHA 85.6 KM,2.0,2.0,1.0,5,2.0,4.0,4.0,10,,
218.0,225.0,NAGAUR,SHREE BALAJI,NH 62,BY PASS BALAJI,"JODHPUR
168.2 KM",JODHP UR 168.7 KM,0.0,0.0,1.0,1,0.0,0.0,12.0,12,27.1268737,73.69040919999999
219.0,226.0,NAGAUR,SHREE BALAJI,NH 62,AALY,"JODHPUR
158.1 KM",JODHP UR 158.6 KM,2.0,3.0,4.0,9,2.0,4.0,4.0,10,26.644952,74.0309418
220.0,227.0,NAGAUR,SADER,NH 62,CHUGAWAS,"JODHPUR
126.4 KM",JODHP UR 126.9 KM,1.0,3.0,2.0,6,1.0,6.0,2.0,9,27.1983368,73.7493272
221.0,228.0,NAGAUR,MERTHA CITY,NH 58,MHADEV HOTAL K PASS DAGAWAS,"AJMER 75 KM
200","AJMER 75 KM
600",1.0,3.0,1.0,5,1.0,3.0,1.0,5,27.5334602,74.3440842
